           0  0.00278079 0.000617859
    0.326599   0.0161093  0.00102064
    0.653197   0.0479384   0.0028748
    0.979796    0.078709  0.00391287
     1.30639    0.105485  0.00514042
     1.63299    0.115527  0.00377531
     1.95959    0.129784  0.00315129
     2.28619    0.140267   0.0126181
     2.61279    0.112749  0.00690249
     2.93939   0.0797674  0.00263537
     3.26599   0.0571701  0.00261166
     3.59258   0.0418669  0.00193335
     3.91918   0.0253222  0.00134214
     4.24578    0.020856  0.00168933
     4.57238   0.0119234  0.00121449
     4.89898  0.00691551 0.000797455
     5.22558  0.00409838 0.000816262
     5.55218  0.00178819 0.000390417
     5.87878 0.000651157 0.000250533
     6.20537 0.000277083 0.000127582
     6.53197 1.43519e-05 1.39885e-05
     6.85857           0           0
     7.18517           0           0
     7.51177           0           0
     7.83837           0           0
     8.16497           0           0
     8.49156           0           0
     8.81816           0           0
     9.14476           0           0
     9.47136           0           0
