#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96706     2.96706           0
           2     2.96719     2.96713  4.4805e-05
           3     2.96721     2.96716  3.8022e-05
           4     2.96711     2.96714 3.01212e-05
           5     2.96721     2.96716 2.69415e-05
           6     2.96714     2.96715 2.27221e-05
           7     2.96708     2.96714   2.153e-05
           8     2.96721     2.96715 2.03976e-05
           9     2.96719     2.96716 1.85654e-05
          10     2.96708     2.96715 1.82182e-05
          11     2.96717     2.96715  1.6678e-05
          12     2.96721     2.96716 1.60226e-05
          13     2.96715     2.96716 1.48051e-05
          14     2.96713     2.96715 1.38641e-05
          15      2.9671     2.96715 1.34379e-05
          16     2.96712     2.96715 1.27433e-05
          17     2.96723     2.96715 1.29618e-05
          18     2.96714     2.96715 1.22575e-05
          19     2.96716     2.96715 1.16214e-05
          20     2.96705     2.96715 1.22113e-05
