1   -0.497525           0
2   -0.478741   0.0187844
3   -0.454042   0.0269754
4   -0.459544   0.0198521
5   -0.454093   0.0163147
6   -0.452472   0.0134192
7   -0.451383   0.0113935
8   -0.452497  0.00992968
9   -0.445953   0.0109318
10   -0.443554   0.0100677
11   -0.439245   0.0100745
12   -0.438406  0.00923492
13   -0.437647  0.00852879
14   -0.433304   0.0090116
15   -0.428275  0.00978117
16   -0.429732  0.00926472
17   -0.431124  0.00881337
18   -0.433123  0.00854646
19   -0.436711  0.00884427
20   -0.435287  0.00851039
21   -0.432138  0.00868579
22   -0.432234  0.00828213
23    -0.43393  0.00809358
24   -0.433602  0.00775594
25   -0.435087   0.0075861
26   -0.435964  0.00734103
27   -0.438089   0.0073766
28    -0.43825  0.00711008
29   -0.440704  0.00728623
30   -0.437376  0.00778602
31   -0.437273  0.00753137
32   -0.439219  0.00754732
33   -0.439437  0.00731828
34   -0.441408  0.00736835
35   -0.441431  0.00715477
36   -0.441309  0.00695425
37   -0.441743  0.00677759
38    -0.44121  0.00661829
39   -0.442271  0.00653306
40   -0.442553  0.00637387
41   -0.442464  0.00621711
42   -0.441259  0.00618582
43   -0.441142  0.00604138
44   -0.441743    0.005933
45    -0.44236  0.00583237
46    -0.44164  0.00574944
47   -0.441824  0.00562881
48   -0.442893  0.00561292
49   -0.443022  0.00549871
50   -0.443126   0.0053886
51   -0.442125  0.00537582
52   -0.442257  0.00527308
53   -0.442238  0.00517266
54   -0.441697  0.00510476
55   -0.441832  0.00501291
56   -0.441967  0.00492442
57   -0.441588  0.00485206
58   -0.441244  0.00478007
59   -0.440589  0.00474374
60   -0.439999  0.00470127
61    -0.44074   0.0046826
62   -0.439611  0.00474284
63   -0.438429   0.0048142
64    -0.43894   0.0047659
65   -0.439001   0.0046924
66   -0.438608  0.00463745
67   -0.437138  0.00479835
68   -0.437274  0.00472921
69   -0.437682  0.00467803
70   -0.437274  0.00462874
71   -0.435671  0.00483665
72    -0.43641  0.00482592
73   -0.436914  0.00478599
74   -0.436782  0.00472271
75   -0.436209  0.00469433
76   -0.435217  0.00473719
77   -0.435154  0.00467569
78   -0.435459  0.00462546
79    -0.43503  0.00458668
80    -0.43485  0.00453255
81   -0.435254  0.00449448
82   -0.435524  0.00444753
83    -0.43578  0.00440103
84   -0.435914   0.0043504
85   -0.436078  0.00430202
86   -0.436262  0.00425571
87   -0.436152  0.00420795
88   -0.435774  0.00417705
89   -0.435698  0.00413055
90   -0.436193  0.00411433
91   -0.435782  0.00408957
92   -0.436331  0.00408199
93   -0.435862  0.00406502
94   -0.436134  0.00403074
95   -0.436585  0.00401344
96    -0.43644  0.00397406
97   -0.436618  0.00393693
98   -0.436927  0.00390872
99   -0.436945  0.00386908
100    -0.43673  0.00383624
